snippet,sentiment,cleaned_snippet
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal . 
",1,rock destined 21st centurys new conan hes going make splash even greater arnold schwarzenegger jeanclaud van damme steven segal
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth . 
",1,gorgeously elaborate continuation lord rings trilogy huge column words adequately describe cowriterdirector peter jacksons expanded vision j r r tolkiens middleearth
"effective but too-tepid biopic
",1,effective tootepid biopic
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start . 
",1,sometimes like go movies fun wasabi good place start
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one . 
",1,emerges something rare issue movie thats honest keenly observed doesnt feel like one
"the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game . 
",1,film provides great insight neurotic mindset comics even reached absolute top game
"offers that rare combination of entertainment and education . 
",1,offers rare combination entertainment education
"perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions . 
",1,perhaps picture ever made literally showed road hell paved good intentions
"steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off . 
",1,steers turns snappy screenplay curls edges clever want hate somehow pulls
"take care of my cat offers a refreshingly different slice of asian cinema . 
",1,take care cat offers refreshingly different slice asian cinema
"this is a film well worth seeing , talking and singing heads and all . 
",1,film well worth seeing talking singing heads
"what really surprises about wisegirls is its low-key quality and genuine tenderness . 
",1,really surprises wisegirls lowkey quality genuine tenderness
" ( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind . 
",1,wendigo go cinema fed eye heart mind
"one of the greatest family-oriented , fantasy-adventure movies ever . 
",1,one greatest familyoriented fantasyadventure movies ever
"ultimately , it ponders the reasons we need stories so much . 
",1,ultimately ponders reasons need stories much
"an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question . 
",1,utterly compelling wrote reputation famous author ever lived comes question
"illuminating if overly talky documentary . 
",1,illuminating overly talky documentary
"a masterpiece four years in the making . 
",1,masterpiece four years making
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries . 
",1,movies ripe enrapturing beauty tempt willing probe inscrutable mysteries
"offers a breath of the fresh air of true sophistication . 
",1,offers breath fresh air true sophistication
"a thoughtful , provocative , insistently humanizing film . 
",1,thoughtful provocative insistently humanizing film
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives . 
",1,cast includes top actors working independent film lovely amazing involves us incisive bleakly amusing go lives
"a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass . 
",1,disturbing frighteningly evocative assembly imagery hypnotic music composed philip glass
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare . 
",1,everyone connect nice departure standard moviegoing fare
"scores a few points for doing what it does with a dedicated and good-hearted professionalism . 
",1,scores points dedicated goodhearted professionalism
"occasionally melodramatic , it's also extremely effective . 
",1,occasionally melodramatic also extremely effective
"spiderman rocks
",1,spiderman rocks
"an idealistic love story that brings out the latent 15-year-old romantic in everyone . 
",1,idealistic love story brings latent 15yearold romantic everyone
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts . 
",1,95 minutes treasure planet maintains brisk pace races familiar story however lacks grandeur epic quality often associated stevensons tale well earlier disney efforts
"it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid . 
",1,helps lil bow wow tones pintsized gangsta act play someone resembles real kid
"guaranteed to move anyone who ever shook , rattled , or rolled . 
",1,guaranteed move anyone ever shook rattled rolled
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview . 
",1,masterful film master filmmaker unique deceptive grimness compelling fatalist worldview
"light , cute and forgettable . 
",1,light cute forgettable
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid . 
",1,theres way effectively teach kids dangers drugs think projects like unfortunately rrated paid
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy . 
",1,would easy give crush new title two weddings funeral far thoughtful film slice hugh grant whimsy
"though everything might be literate and smart , it never took off and always seemed static . 
",1,though everything might literate smart never took always seemed static
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days
",1,cantet perfectly captures hotel lobbies twolane highways roadside cafes permeate vincents days
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn . 
",1,ms fulfordwierzbicki almost spooky sulky calculating lolita turn
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them . 
",1,though means best work laissezpasser distinguished distinctive effort bonafide master fascinating film replete rewards willing make effort reap
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series . 
",1,like bond outings recent years stunts outlandish border cartoonlike heavy reliance cgi technology beginning creep series
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg . 
",1,newton draws attention like magnet acts circles around better known costar mark wahlberg
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride . 
",1,story loses bite lastminute happy ending thats even less plausible rest picture much way though refreshingly novel ride
"fuller would surely have called this gutsy and at times exhilarating movie a great yarn . 
",1,fuller would surely called gutsy times exhilarating movie great yarn
"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '
",1,compleja e intelectualmente retadora el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad
"the film makes a strong case for the importance of the musicians in creating the motown sound . 
",1,film makes strong case importance musicians creating motown sound
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat . 
",1,karmen moves like rhythm lips chanting beat long braided hair little wipe away jeweled beads sweat
"gosling provides an amazing performance that dwarfs everything else in the film . 
",1,gosling provides amazing performance dwarfs everything else film
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know . 
",1,real movie real people gives us rare glimpse culture us dont know
"tender yet lacerating and darkly funny fable . 
",1,tender yet lacerating darkly funny fable
"may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today . 
",1,may spoofing easy target old 50s giant creature features acknowledges celebrates cheesiness reason people get kick watching today
"an engaging overview of johnson's eccentric career . 
",1,engaging overview johnsons eccentric career
"in its ragged , cheap and unassuming way , the movie works . 
",1,ragged cheap unassuming way movie works
"some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors . 
",1,actors much charisma youd happy listen reading phone book hugh grant sandra bullock two likeable actors
"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open . 
",1,sandra nettelbeck beautifully orchestrates transformation chilly neurotic selfabsorbed martha heart begins open
"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart . 
",1,behind snow games lovable siberian huskies plus one sheep dog picture hosts parkawrapped dose heart
"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse . 
",1,everytime think undercover brother run steam finds new way surprise amuse
"manages to be original , even though it rips off many of its ideas . 
",1,manages original even though rips many ideas
"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece . 
",1,singercomposer bryan adams contributes slew songs potential hits simply intrusive story whole package certainly captures intended er spirit piece
"you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here . 
",1,youd think america would enough plucky british eccentrics hearts gold yet act still charming
"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow . 
",1,whether youre enlightened derridas lectures self derrida undeniably fascinating playful fellow
"a pleasant enough movie , held together by skilled ensemble actors . 
",1,pleasant enough movie held together skilled ensemble actors
"this is the best american movie about troubled teens since 1998's whatever . 
",1,best american movie troubled teens since 1998s whatever
"disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both . 
",1,disney always hitormiss bringing beloved kids books screen tuck everlasting little
"just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing . 
",1,labour involved creating layered richness imagery chiaroscuro madness light astonishing
"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense . 
",1,animated subplot keenly depicts inner struggles adolescent heroes insecure uncontrolled intense
"the invincible werner herzog is alive and well and living in la
",1,invincible werner herzog alive well living la
"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start . 
",1,morton great actress portraying complex character morvern callar grows less compelling farther meanders shocking start
"part of the charm of satin rouge is that it avoids the obvious with humour and lightness . 
",1,part charm satin rouge avoids obvious humour lightness
"son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness . 
",1,son bride may good halfhour long comes replete flattering sense mystery quietness
"a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them . 
",1,simmering psychological drama bursts sudden violence startling slow buildup preceded
"a taut , intelligent psychological drama . 
",1,taut intelligent psychological drama
"a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her . 
",1,compelling comingofage drama arduous journey sensitive young girl series foster homes fierce struggle pull free dangerous domineering mothers hold
"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort . 
",1,truly moving experience perfect example art done right help heal clarify comfort
"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director . 
",1,delicately observed story deeply felt masterfully stylized triumph maverick director
"at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance . 
",1,heart movie deftly wrought suspense yarn whose richer shadings work coloring rather substance
"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible ! 
",1,appearance treebeard gollums expanded role either loving youre seeing rolling eyes loved gollums performance incredible
"a screenplay more ingeniously constructed than "" memento "" 
",1,screenplay ingeniously constructed memento
"if this movie were a book , it would be a page-turner , you can't wait to see what happens next . 
",1,movie book would pageturner cant wait see happens next
"haneke challenges us to confront the reality of sexual aberration . 
",1,haneke challenges us confront reality sexual aberration
"absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way . 
",1,absorbing disturbing perhaps disturbing originally intended little clarity would gone long way
"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured . 
",1,best film year far benchmark best picture contenders measured
